City_ID,City,Country,Max Temp,City Desc,Lat,Lng,Hotel Name
372,Salamiyah,SY,78.33,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
382,Ajaccio,FR,71.65,clear sky,42.0,8.9167,Sole E Monte
385,Sao Filipe,CV,79.66,broken clouds,14.8961,-24.4956,Hotel Xaguate
391,Auki,SB,77.02,few clouds,-8.7676,160.7034,Auki Motel
392,Werda,BW,71.44,clear sky,-25.2667,23.2833,
394,Marsa Matruh,EG,77.83,clear sky,31.3525,27.2453,Beau Site
395,Hami,CN,76.82,clear sky,42.8,93.45,Laoyutang Resort
399,Roebourne,AU,71.28,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
402,Vaitape,PF,79.12,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
406,Waingapu,ID,76.01,clear sky,-9.6567,120.2641,Pondok Wisata Elim
407,Port-Gentil,GA,76.96,scattered clouds,-0.7193,8.7815,Fengshui Residence
414,Mocuba,MZ,71.17,clear sky,-16.8392,36.9856,Phama Lodge
416,Manggar,ID,79.16,overcast clouds,-2.8833,108.2667,Guest Hotel
418,Gorontalo,ID,74.14,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
419,Maragogi,BR,74.3,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
420,Colares,PT,74.75,few clouds,38.7992,-9.4469,Arribas Sintra Hotel
423,Boyolangu,ID,74.14,overcast clouds,-8.1181,111.8935,Yos ega cv
429,Baleshwar,IN,78.22,light rain,21.4942,86.9317,Banjara Hotels Pvt Ltd
432,Bardiyah,LY,77.94,clear sky,31.7561,25.0865,بورتو بردية
435,Payyannur,IN,77.18,overcast clouds,12.1,75.2,Kavvayi Beach House
440,Biltine,TD,79.59,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
441,Mogadishu,SO,76.55,few clouds,2.0371,45.3438,Hotel Juba
442,Lefka,CY,78.93,clear sky,35.1106,32.8506,Direk Hotel
443,Barinitas,VE,77.58,overcast clouds,8.7622,-70.4111,Rapsodia EcoTours
447,Bongor,TD,71.26,overcast clouds,10.2806,15.3722,Oryx Palace
449,Muisne,EC,75.15,overcast clouds,0.6,-80.0333,Quinta Samay
455,Kharsawan,IN,75.69,light rain,22.8,85.8333,Pardhandih(Dabra)
457,Palu,ID,74.19,broken clouds,-0.8917,119.8707,Hotel Santika Palu
458,Hambantota,LK,78.1,overcast clouds,6.1241,81.1185,Bungalow 63
460,Fare,PF,78.64,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
462,Mabaruma,GY,79.99,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
466,Aksu,CN,78.24,clear sky,41.1231,80.2644,Pudong Holiday Hotel
472,Acari,PE,70.72,scattered clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
476,Maceio,BR,72.84,overcast clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
477,Cordoba,AR,72.75,clear sky,-31.4135,-64.1811,Hotel Sussex
478,Jieshi,CN,78.24,broken clouds,22.8134,115.8257,Yuehai Hotel
483,Naze,JP,79.29,overcast clouds,28.3667,129.4833,Shishime Hotel
484,Kisangani,CD,70.47,moderate rain,0.5167,25.2,Grand Ramela Hotel
485,Veraval,IN,78.21,heavy intensity rain,20.9,70.3667,Lords Inn Somnath
489,Raga,SS,71.38,overcast clouds,8.4596,25.678,
495,Kankon,IN,76.8,overcast clouds,15.0167,74.0167,Palolem Beach Resort
498,Kontagora,NG,71.1,heavy intensity rain,10.3999,5.4695,Queens Guest Inn
508,Linhares,BR,78.21,clear sky,-19.3911,-40.0722,Hotel Conceição
513,Banda Aceh,ID,79.16,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
514,Sao Joao Da Barra,BR,78.89,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
515,Hirado,JP,76.39,broken clouds,33.3597,129.5531,Samson Hotel
516,Usak,TR,71.78,clear sky,38.5,29.4167,Bekdemir Koyu Muhtarligi
518,Kavaratti,IN,79.88,overcast clouds,10.5669,72.642,Green leaf
521,Nioro,GM,78.49,moderate rain,13.35,-15.75,
522,Mut,TR,78.89,clear sky,36.6439,33.4389,Konak Otel
523,Jungapeo,MX,76.8,overcast clouds,19.45,-100.4833,Hotel Xungapety
524,Cabedelo,BR,77.67,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
525,Praia Da Vitoria,PT,72.75,scattered clouds,38.7333,-27.0667,Hotel Branco I
533,Sibu,MY,72.46,overcast clouds,2.3,111.8167,RH HOTEL (4 Star)
538,Takoradi,GH,74.75,broken clouds,4.8845,-1.7554,Raybow International Hotel
541,Diffa,NE,79.2,overcast clouds,13.3154,12.6113,ProDAF/Diffa
543,Omboue,GA,75.47,overcast clouds,-1.5746,9.2618,Hotel Olako
546,Boende,CD,74.3,broken clouds,-0.2167,20.8667,
550,Caravelas,BR,73.81,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
551,Patancheru,IN,74.26,heavy intensity rain,17.5314,78.265,Sri Ganapathi Lodge
552,Mesagne,IT,79.45,few clouds,40.5588,17.8083,Hotel Blue Rose's
553,Harper,LR,75.76,scattered clouds,4.375,-7.7169,Screensaver
554,Ovar,PT,70.2,clear sky,40.8586,-8.6251,Aqua Hotel
557,Caucaia,BR,79.03,clear sky,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
565,Wanparti,IN,73.98,overcast clouds,16.3667,78.0667,Vasanth
566,Kikwit,CD,76.39,light rain,-5.041,18.8162,HOTEL PLACE YALABA
567,Denizli,TR,77.95,clear sky,37.8402,29.0698,Anemon Denizli Hotel
571,Katobu,ID,72.75,overcast clouds,-4.9408,122.5276,La Ode Husein
573,Gat,IL,79.48,clear sky,31.61,34.7642,OlusHome
575,Shimoda,JP,70.11,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
576,Angoche,MZ,73.45,clear sky,-16.2325,39.9086,Guest House HESADA
578,Amahai,ID,76.42,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
579,Champasak,LA,71.96,light rain,14.75,106.0,Kiat Ngong Wetland BUNGALOW
580,Oussouye,SN,79.97,broken clouds,12.485,-16.5469,Auberge du Routard
583,Diego De Almagro,CL,70.63,broken clouds,-26.3667,-70.05,hotel luna del desierto
585,Flagstaff,US,76.66,light rain,35.1981,-111.6513,Drury Inn & Suites Flagstaff
588,Beauceville,CA,77.5,clear sky,46.2179,-70.7787,La Cage du Golf
589,Mayumba,GA,74.28,overcast clouds,-3.432,10.6554,LIKWALE LODGE
592,Ambulu,ID,73.67,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
