City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,City Desc
141,Hazorasp,41.3194,61.0742,58.84,30,2,10.31,UZ,2022-09-10 20:00:10,clear sky
142,Kantunilkin,21.0917,-87.45,77.02,92,100,5.14,MX,2022-09-10 20:02:03,overcast clouds
143,Tiznit,29.5833,-9.5,75.78,58,50,4.05,MA,2022-09-10 20:02:04,scattered clouds
144,Viransehir,37.2353,39.7631,84.83,18,0,1.39,TR,2022-09-10 20:02:04,clear sky
145,Severo-Kurilsk,50.6789,156.125,52.03,88,15,11.41,RU,2022-09-10 20:02:04,few clouds
146,Ostrovnoy,68.0531,39.5131,48.22,88,94,9.13,RU,2022-09-10 20:02:05,overcast clouds
147,Kununurra,-15.7667,128.7333,73.38,78,0,4.61,AU,2022-09-10 20:02:05,clear sky
148,Isangel,-19.55,169.2667,75.45,81,4,4.59,VU,2022-09-10 20:02:05,clear sky
149,Rafai,4.95,23.9167,69.35,96,84,0.76,CF,2022-09-10 20:02:06,light rain
150,Fuxin,42.0156,121.6589,63.97,86,100,3.87,CN,2022-09-10 20:02:06,overcast clouds
151,Meulaboh,4.1363,96.1285,76.28,86,91,2.71,ID,2022-09-10 20:02:06,overcast clouds
152,Leh,34.1667,77.5833,58.78,57,40,3.71,IN,2022-09-10 20:02:07,scattered clouds
153,Husavik,66.0449,-17.3389,48.88,97,100,8.01,IS,2022-09-10 20:02:07,overcast clouds
154,Nijar,36.9665,-2.206,74.84,65,0,3.44,ES,2022-09-10 20:02:07,clear sky
155,Kavieng,-2.5744,150.7967,80.56,79,40,13.15,PG,2022-09-10 20:02:08,moderate rain
156,Provideniya,64.3833,-173.3,44.91,74,3,0.85,RU,2022-09-10 20:02:08,clear sky
157,Mahibadhoo,3.7833,72.9667,80.71,80,28,12.19,MV,2022-09-10 20:02:08,scattered clouds
158,Khasan,42.4308,130.6434,61.66,88,98,2.73,RU,2022-09-10 20:02:08,overcast clouds
159,Shaoguan,24.8,113.5833,76.23,65,57,1.48,CN,2022-09-10 20:02:09,broken clouds
160,Sola,-13.8833,167.55,80.35,72,1,19.64,VU,2022-09-10 20:02:09,clear sky
161,Pacific Grove,36.6177,-121.9166,72.41,84,100,4.0,US,2022-09-10 19:58:27,overcast clouds
162,Karaton,-6.3424,106.1045,71.82,93,100,2.48,ID,2022-09-10 20:02:10,overcast clouds
163,Fort Nelson,58.8053,-122.7002,68.23,25,80,9.93,CA,2022-09-10 20:02:10,broken clouds
164,Ladan,50.5196,32.5818,53.33,66,100,15.05,UA,2022-09-10 20:02:10,light rain
165,Bar Harbor,44.3876,-68.2039,81.46,67,0,5.01,US,2022-09-10 19:57:52,clear sky
166,Kahului,20.8947,-156.47,85.96,78,10,10.0,US,2022-09-10 20:00:06,clear sky
167,Damaturu,11.747,11.9608,72.45,87,77,3.2,NG,2022-09-10 20:02:11,broken clouds
168,Labytnangi,66.6572,66.4183,36.0,88,100,3.71,RU,2022-09-10 20:02:11,overcast clouds
169,Chokurdakh,70.6333,147.9167,39.36,91,100,4.79,RU,2022-09-10 20:02:11,overcast clouds
170,Tyrma,50.0833,132.1667,51.8,95,10,2.46,RU,2022-09-10 20:02:12,clear sky
171,Tarime,-1.35,34.3667,63.23,88,70,4.56,TZ,2022-09-10 20:02:12,light rain
172,Port Augusta,-32.5,137.7667,47.21,79,42,5.08,AU,2022-09-10 19:58:06,scattered clouds
173,Port Alfred,-33.5906,26.891,64.18,85,100,5.99,ZA,2022-09-10 20:02:13,overcast clouds
174,La Ronge,55.1001,-105.2842,66.61,32,6,10.47,CA,2022-09-10 20:00:24,clear sky
175,Curup,-3.4667,102.5333,65.7,93,73,1.36,ID,2022-09-10 20:02:13,moderate rain
176,Tonantins,-2.8731,-67.8022,81.52,79,84,4.16,BR,2022-09-10 20:02:13,broken clouds
177,Vostok,46.4856,135.8833,49.87,86,0,3.58,RU,2022-09-10 20:02:14,clear sky
178,Zavyalovo,54.5053,82.4484,50.07,59,100,1.5,RU,2022-09-10 20:02:14,overcast clouds
179,Nova Olimpia,-14.7972,-57.2881,100.42,18,58,5.14,BR,2022-09-10 20:02:14,broken clouds
180,Nome,64.5011,-165.4064,45.16,85,100,11.34,US,2022-09-10 19:57:33,overcast clouds
181,Dzaoudzi,-12.7887,45.2699,73.29,88,0,2.3,YT,2022-09-10 20:02:15,clear sky
182,Crotone,39.0851,17.1178,78.87,59,0,7.96,IT,2022-09-10 20:02:15,clear sky
183,Pisco,-13.7,-76.2167,65.01,74,5,7.99,PE,2022-09-10 20:02:15,clear sky
184,Kamenka,51.3223,42.7678,44.69,64,6,6.11,RU,2022-09-10 20:02:16,clear sky
185,Berlevag,70.8578,29.0864,46.4,87,100,12.66,NO,2022-09-10 20:02:16,overcast clouds
186,Petropavlovsk-Kamchatskiy,53.0452,158.6483,46.99,76,20,8.95,RU,2022-09-10 20:02:16,few clouds
187,Geraldton,-28.7667,114.6,48.61,93,0,6.91,AU,2022-09-10 20:02:18,clear sky
188,Nalut,30.3333,10.85,88.29,18,0,10.89,LY,2022-09-10 20:02:18,clear sky
189,Masunga,-20.6246,27.4488,67.41,26,0,11.27,BW,2022-09-10 20:02:18,clear sky
190,Ornskoldsvik,63.2909,18.7153,52.75,82,100,3.44,SE,2022-09-10 20:02:19,overcast clouds
191,Saint George,37.1041,-113.5841,85.42,44,100,23.02,US,2022-09-10 19:58:59,haze
192,Kharp,66.8014,65.8081,35.69,89,98,4.79,RU,2022-09-10 20:02:19,overcast clouds
193,Okha,53.5739,142.9478,51.73,96,25,2.62,RU,2022-09-10 20:02:20,scattered clouds
194,Torbay,47.6666,-52.7314,57.58,93,100,34.0,CA,2022-09-10 20:02:20,moderate rain
195,Bubaque,11.2833,-15.8333,80.65,80,97,7.2,GW,2022-09-10 20:02:20,light rain
196,Mandera,3.9366,41.867,83.03,55,92,24.23,KE,2022-09-10 20:02:21,overcast clouds
197,Korla,41.7597,86.1469,78.58,20,0,8.21,CN,2022-09-10 20:02:21,clear sky
198,Kralendijk,12.15,-68.2667,84.6,79,100,19.6,BQ,2022-09-10 20:00:02,overcast clouds
199,Yarada,17.65,83.2667,79.12,100,100,2.3,IN,2022-09-10 19:58:11,mist
200,Senador Jose Porfirio,-2.5908,-51.9542,90.61,45,47,2.53,BR,2022-09-10 20:02:21,scattered clouds
201,Mahebourg,-20.4081,57.7,68.25,71,3,12.95,MU,2022-09-10 20:01:30,clear sky
202,Soyo,-6.1349,12.3689,73.63,86,37,9.8,AO,2022-09-10 20:02:22,scattered clouds
203,Goderich,43.7501,-81.7165,83.91,62,96,6.44,CA,2022-09-10 20:00:25,overcast clouds
204,Dunedin,-45.8742,170.5036,46.8,85,48,3.0,NZ,2022-09-10 20:02:21,scattered clouds
205,Sobolevo,54.4299,31.8996,49.69,48,100,11.79,RU,2022-09-10 20:02:22,overcast clouds
206,Romny,50.751,33.4747,57.09,42,100,13.98,UA,2022-09-10 20:02:23,light rain
207,Sai Buri,6.7013,101.6168,78.96,85,100,3.2,TH,2022-09-10 20:02:23,moderate rain
208,Krasnoarmeysk,51.0239,45.6969,45.3,66,13,5.17,RU,2022-09-10 20:02:23,few clouds
209,Itarema,-2.9248,-39.9167,80.67,67,0,16.06,BR,2022-09-10 20:02:24,clear sky
210,Krasnoselkup,65.7,82.4667,41.0,51,100,4.74,RU,2022-09-10 20:02:24,overcast clouds
211,Labuhan,-6.8844,112.2051,76.68,87,96,6.22,ID,2022-09-10 20:02:24,overcast clouds
212,Puerto Ayora,-0.7393,-90.3518,68.56,88,80,5.99,EC,2022-09-10 20:02:25,broken clouds
213,Adolfo Lopez Mateos,28.4667,-107.3,69.93,53,37,9.37,MX,2022-09-10 20:02:25,scattered clouds
214,Touros,-5.1989,-35.4608,77.63,73,0,17.78,BR,2022-09-10 20:02:25,clear sky
215,Alyangula,-13.8483,136.4192,74.46,79,91,1.68,AU,2022-09-10 20:02:25,overcast clouds
216,Asau,46.4333,26.4,61.72,89,100,5.19,RO,2022-09-10 20:02:26,overcast clouds
217,Vila Franca Do Campo,37.7167,-25.4333,72.19,87,100,15.35,PT,2022-09-10 20:02:26,overcast clouds
218,Bela,25.9333,81.9833,81.54,73,12,8.63,IN,2022-09-10 20:02:27,few clouds
219,Elko,41.0002,-115.5012,80.74,9,0,4.0,US,2022-09-10 20:02:27,clear sky
220,Grindavik,63.8424,-22.4338,52.27,93,0,16.11,IS,2022-09-10 20:02:27,clear sky
221,Moree,-29.4667,149.85,46.42,93,86,5.75,AU,2022-09-10 20:02:27,overcast clouds
222,Valkeala,60.9401,26.7979,44.31,87,0,4.61,FI,2022-09-10 20:02:28,clear sky
223,Carnarvon,-24.8667,113.6333,63.57,69,0,12.91,AU,2022-09-10 20:02:28,clear sky
224,Brewster,41.3973,-73.6171,87.28,45,31,4.79,US,2022-09-10 20:01:33,scattered clouds
225,Vila Velha,-20.3297,-40.2925,76.57,64,34,22.12,BR,2022-09-10 20:00:34,scattered clouds
226,Longyearbyen,78.2186,15.6401,33.64,69,75,11.5,SJ,2022-09-10 20:02:23,broken clouds
227,Saint-Pierre,-21.3393,55.4781,69.91,68,75,4.61,RE,2022-09-10 20:02:29,broken clouds
228,Casma,-41.0082,-73.1244,52.88,66,41,5.35,CL,2022-09-10 20:02:29,scattered clouds
229,Dingle,10.9995,122.6711,74.35,89,91,4.09,PH,2022-09-10 20:02:29,overcast clouds
230,Sanmenxia,34.7747,111.1814,63.5,79,6,4.03,CN,2022-09-10 20:02:30,clear sky
